"Country Name","GDP/population","Country Code","Adolescent fertility rate (births per 1,000 women ages 15-19)","Agriculture, value added (% of GDP)","Births attended by skilled health staff (% of total)","Cash surplus/deficit (% of GDP)","Contraceptive prevalence (% of women ages 15-49)","Exports of goods and services (% of GDP)","External debt stocks, total (DOD, current US$)","Fertility rate, total (births per woman)","Foreign direct investment, net inflows (BoP, current US$)","GDP (current US$)","GDP growth (annual %)","GNI per capita, Atlas method (current US$)","GNI per capita, PPP (current international $)","GNI, Atlas method (current US$)","GNI, PPP (current international $)","Gross capital formation (% of GDP)","High-technology exports (% of manufactured exports)","Immunization, measles (% of children ages 12-23 months)","Imports of goods and services (% of GDP)","Income share held by lowest 20%","Industry, value added (% of GDP)","Inflation, GDP deflator (annual %)","Internet users (per 100 people)","Life expectancy at birth, total (years)","Malnutrition prevalence, weight for age (% of children under 5)","Market capitalization of listed companies (% of GDP)","Merchandise trade (% of GDP)","Military expenditure (% of GDP)","Mobile cellular subscriptions (per 100 people)","Mortality rate, under-5 (per 1,000)","Net barter terms of trade (2000 = 100)","Official development assistance and official aid (current US$)","Population growth (annual %)","Population, total","Prevalence of HIV, total (% of population ages 15-49)","Primary completion rate, total (% of relevant age group)","Ratio of girls to boys in primary and secondary education (%)","Renewable internal freshwater resources per capita (cubic meters)","Revenue, excluding grants (% of GDP)","Roads, paved (% of total roads)","Services, etc., value added (% of GDP)","Surface area (sq. km)","Time required to start a business (days)","Total debt service (% of exports of goods, services and income)","Workers' remittances and compensation of employees, received (current US$)"
"Egypt, Arab Rep.","1629,7124952996","EGY","39,023","14,0702182766",,"-4,5580371427",,"30,250231039","3,04E+010","2,886","1,16E+010","1,30E+011","7,0747456971",1500,5090,"1,20E+011","4,07E+011","20,8515795844","0,1631013058",97,"34,8287169619",,"36,3445200417","12,6076366182","13,1555995001","70,0119512195",,"106,7547751191","43,1680199633","2,5021895501","37,5531341657","36,2","130,5809638235","1,08E+009","1,8384923571","8,01E+007",,"98,4515399499",,"22,4829860003","27,1175396694",,"49,5852616818",1001450,9,"4,3784851922","7,66E+009"
"El Salvador","3336,0729198343","SLV","82,7","12,1300830317",,"0,8241461571",,"26,1309148005","8,81E+009","2,349","1,53E+009","2,04E+010","4,6500227998",3200,6330,"1,96E+010","3,86E+010","20,399948951","3,5281992133",98,"50,07132436",,"28,7577176921","4,3624993239","12,494348477","71,1590243902",,"33,0983772322","62,3189970843","0,5988435448","100,5014114684","23,8","95,4623287671","8,81E+007","0,4111762615",6106761,"0,8","90,9288634396","101,1575587826","2906,6144884334","19,1551397465",,"59,1121992761",21040,26,"11,0113520069","3,71E+009"
"Equatorial Guinea","19582,0217647193","GNQ","122,805","2,6777005439",,,,"81,8945338437",,"5,358",,"1,26E+010","21,4424770576",9710,16230,"6,24E+009","1,04E+010","35,2728739082",,51,"30,2860622212",,"94,569328147","-1,1638416958","1,5571230594","50,0509756098",,,"103,1348362469",,"34,2567073076",206,"185,9951324792","3,14E+007","2,6533501889",642210,"3,4","66,7235633585",,"40485,1995453201",,,"2,7529713091",28050,136,,
"Eritrea","283,8104378683","ERI","66,873","24,3",,,,"6,2629307564","8,75E+008","5,047",-2820000,"1,37E+009","1,3251609649",270,620,"1,31E+009","3,01E+009","10,5618146486",,95,"34,4762500446",,"19,2221188321","5,8563607828","2,4784311117","57,8682926829",,,"38,2055578893",,"1,7420892284","70,4","70,5652008244","1,55E+008","3,1397465765","4841772,66154327","1,3","46,3815211663","77,7567770022","578,3005927229",,,"56,4778811679",117600,84,,
"Estonia","15621,3109005752","EST","21,405","2,7736938134",,"3,1750031076",,"74,3861039832",,"1,64","2,69E+009","2,10E+010","6,3329212056",12840,18830,"1,72E+010","2,53E+010","37,8936997575","11,8405073452",96,"85,2726480556",,"30,3780033988","9,5889035049","63,69768468","72,9097560976",,"28,805780297","127,3684275431","2,2010732063","147,7148662266","5,6",,,"-0,1396534364",1341672,"1,3","100,3409750435","100,7335895135","9474,7449451133","32,6826097638",,"66,8483027878",45230,7,,"4,26E+008"
"Ethiopia","246,6075424888","ETH","104,397","46,2921265327",,,,"12,8278993707","2,63E+009","5,381","2,23E+008","1,94E+010","11,1023909964",220,780,"1,76E+010","6,17E+010","24,9529754887","2,5226170926",65,"32,2491074963",,"13,3843105785","16,8371211383","0,3700118587","54,98",,,"36,2634622782","1,9032128784","1,5366274612","118,6","110,178931667","2,42E+009","2,5999806496","7,86E+007","2,1","46,2778453122","82,6235189256","1551,2524659828",,"12,8","40,3235628888",1104300,16,"4,1368126588","3,58E+008"
"Faeroe Islands",0,"FRO",,,,,,,,,,,,,,,,,,,,,,,"77,511368334",,,,,,"107,8317486565",,,,"0,2721765963",48380,,,,,,,,1400,,,
"Fiji","4016,3310173812","FJI","31,549",,,,,,"3,87E+008","2,753","2,69E+008","3,35E+009","-6,6",3690,4210,"3,08E+009","3,51E+009","15,2339079085","4,9339393181",81,,,,"6,140853378","10,9555807537","68,7748780488",,"15,584133488","76,2580777165","1,3962729263","63,5337381544","17,86","95,8743554238","5,75E+007","0,5314994952",834278,"0,1","90,0327510917","104,0743953281","34221,2068399263",,,,18270,46,,"1,65E+008"
"Finland","46260,8807587326","FIN","11,388","3,1889725918",,"5,5337073938",,"44,8134079962",,"1,83","1,16E+010","2,45E+011","4,3996409496",44310,34760,"2,34E+011","1,84E+011","22,255662652","21,4488259998",98,"40,1456709872",,"32,2551690976","2,5051841533","78,8233636872","79,2595121951",,"150,8897532207","70,2397780727","1,2323855023","114,9616542377","3,5",,,"0,4254298321",5288720,"0,1","97,9409684071","102,2259838864","20231,7384924897","38,9026566495",,"64,5558583106",338150,14,,"7,72E+008"
"France","41969,9236128925","FRA","6,885","2,2020694438",,"-2,2961128376",,"26,5242042308",,"1,96","1,59E+011","2,59E+012","2,1728416149",38790,33850,"2,47E+012","2,09E+012","22,1258491583","18,8559533725",87,"28,4479544498",,"20,5696825923","2,464143823","51,1626933133","80,9658536585",,"107,0033517553","45,2669850497","2,3397119237","89,7111112321","4,3","101,3812839092",,"0,5761449799","6,17E+007","0,4",,"99,9452897043","2892,6992355106","41,8398497232",,"77,2282479639",551500,7,,"1,37E+010"
"French Polynesia",0,"PYF","52,194",,,,,,,"2,262","5,82E+007",,,,,,,,"2,232336619",,,,,,"28,5584936955","74,1775609756",,,,,"66,5782259624",,"86,4427726065",,"1,2922629996","262618,892997581",,,,"38077,9915940477",,,,4000,,,"6,66E+008"
"Gabon","8135,4105660219","GAB","89,914","4,8475143868",,,,"64,7230987219","5,75E+009","3,35","2,69E+008","1,16E+010","5,5533538866",6450,12320,"9,18E+009","1,75E+010","26,1767062353",,55,"35,9071117636",,"60,2441800792","5,2246392381","5,7670045756","60,3017073171",,,"72,6166574615","1,0642200908","82,2149798647",91,"182,7881188328","4,84E+007","1,8647600945",1421882,"5,9",,,"115340,091512517",,,"34,9083055341",267670,58,,"1,10E+007"
"Gambia, The","398,3321352011","GMB","88,132","28,7084689731",,,,"33,3","7,33E+008","5,098","6,85E+007","6,44E+008","6,305",330,1200,"5,41E+008","1,94E+009","23,2","2,0616309986",85,"49,8",,"14,7933112322","5,6850443945","6,2050374185","55,7502439024",,,"51,819277767","0,7059279204","49,5429307154","108,6","82,5273373206","7,24E+007","2,8012814654",1615510,"0,9","71,5837913844","100,2810783387","1856,9987186709",,,"56,4982197947",11300,32,"12,4381574892","4,73E+007"
"Georgia","2313,3485485249","GEO","44,651","10,924765686",,"0,7624146097",,"31,5153486475","2,29E+009","1,407","1,73E+009","1,02E+010","12,4298079289",2090,4680,"9,18E+009","2,06E+010","34,6065077323","7,1196207583",97,"57,7416560371",,"24,0753707276","9,6404450806","8,1844454781","70,8258536585",,"13,6504803061","63,4565524381","9,1536815791","59,1033819209","30,2",,"3,82E+008","-0,7788791231","4398587,55202644","0,1","91,7435773536","98,2929309894","13215,6059899772","24,0313555595",,"64,9998635864",69700,11,"4,6311085965","6,95E+008"
"Germany","40323,7127646122","DEU","7,732","0,9176212752",,"-0,3502764254",,"46,7043485436",,"1,39","5,15E+010","3,32E+012","2,4848851325",38990,34740,"3,21E+012","2,86E+012","18,3166927964","14,2179777418",94,"39,6971697335",,"30,0918081697","1,8444440367","72,2897820847","79,6853658537",,"63,4692070938","71,6845495009","1,2826965921","118,0903612795","4,4","97,1722919287",,"-0,1313057081","8,23E+007","0,1","103,170731405","98,5573967158","1300,6215743436","28,4602689991",,"68,9905705551",357050,18,,"9,84E+009"
"Ghana","655,3882202495","GHA","64,036","33,9603791888",,"-7,7028863023",,"33,7381462309","4,48E+009","4,308","9,70E+008","1,50E+010","6,0999994751",600,1350,"1,38E+010","3,10E+010","34,0545889136","1,0275887906",95,"60,1771902703",,"26,0670085807","13,8411354855","3,8476730716","56,4931707317",,"15,8793953158","81,8420440028","0,8374733854","33,2476249582","115,2","143,27282529","1,15E+009","2,1104741972","2,29E+007","1,9",,"95,1819829185","1324,8237962489","25,7457610362",,"39,9726122305",238540,42,"3,0805768192","1,17E+008"
"Greece","27994,5849326438","GRC","8,889","3,5853709917",,"-3,7034497248",,"22,1818250115",,"1,38","1,96E+009","3,13E+011","4,0027662155",25740,27830,"2,88E+011","3,12E+011","25,6856667018","8,1665459167",88,"35,3850010941",,"23,0726423179","2,8752669058","32,8630637111","79,6902439024",,"84,5504058277","31,8688557661","3,2740959001","109,8410612143","4,1","93,3450087566",,"0,4019909606","1,12E+007","0,2","101,4583586683","97,0862806198","5181,640625349","38,9170150344",,"73,3419866904",131960,38,,"2,48E+009"
"Greenland",0,"GRL",,,,,,,,,,,,,,,,,"11,4975005889",,,,,,"91,6188560555",,,,,,"116,9902315785",,,,"-0,030167251","56756,8754280442",,,,"1,06E+007",,,,410450,,,
"Grenada","5752,3983960094","GRD","42,403",,99,,,,"5,25E+008","2,302","1,40E+008","6,08E+008","14,6534596526",5350,7730,"5,65E+008","8,17E+008",,,98,,,,"4,9586813285","21,7662868607","68,623902439",,,"62,8761024704",,,19,"98,1596086841","2,27E+007","0,0672141648",105668,,"81,1299000769","96,9927349833",,,,,340,20,"7,7626018112","5,54E+007"
"Guam",0,"GUM","51,542",,,,,,,"2,539",,,,,,,,,,,,,,,"46,1808503552","75,537804878",,,,,,,,,"1,2775082638","173231,976857778",,,,,,,,540,,,
"Guatemala","2549,4712338651","GTM","107,2","10,5796589737",,,,"25,2834418491","6,26E+009","4,152","7,24E+008","3,40E+010","6,2687224695",2470,4550,"3,30E+010","6,07E+010","20,4667494353","3,4798892823",93,"41,8438904237",,"27,5037203777","6,9133819261",,"70,1641463415",,,"60,1622131421","0,4147369082","89,1321948326",39,"88,7481371088","4,50E+008","2,4238380422","1,33E+007","0,8","77,0754883502","93,0657328252","8180,8650021175",,,"61,9166206486",108890,26,"5,1548382239","4,25E+009"
"Guinea","474,6283307469","GIN","152,312","16,7343959808",,,,"37,2446861267","3,27E+009","5,451","1,11E+008","4,56E+009","1,5090875626",390,1100,"3,72E+009","1,05E+010","12,6176176071",,71,"39,4836997986",,"45,1558532715","17,3829898834","0,7800252791","57,5558536585",,,"51,3850286887",,"20,8006741082","150,3","173,1477903652","2,24E+008","2,1359143964",9615073,"1,6","64,2009642808","76,1458039786","23504,7617423185",,,"38,109752655",245860,41,"13,1421147763","1,51E+008"
"Guinea-Bissau","247,8614159913","GNB","129,169","53,1400777692",,,,"27,95404814","7,44E+008","5,727",7000000,"3,82E+008","0,6",220,510,"3,40E+008","7,91E+008","24,3092757112",,76,"44,5842450766",,"13,1007394275","9,5957427929","2,2063022375","47,6219512195",,,"57,8588018069",,"19,2222784613",198,,"1,23E+008","2,2399634665",1541040,"1,8",,,"10382,5987644707",,,"33,7591828034",36120,233,,"2,90E+007"
"Guyana","1411,9348382","GUY","62,691",,,,,,"7,34E+008","2,334","1,52E+008","1,08E+009","-2,1290322581",1170,2330,"8,94E+008","1,78E+009",,,96,,,,"21,4006056249","24,8658552545","66,9187804878",,"24,3199086183","161,0917960304",,,"60,2","91,636017956","1,24E+008","-0,0226384529",764100,"2,5","115,9514380316","95,9747087458","315403,74296558",,,,214970,44,"2,4235151376","2,78E+008"
"Haiti","698,6591725759","HTI","46,4",,,,,"11,0108310541","1,60E+009","3,75","7,45E+007","6,72E+009","3,4406300176",520,1060,"5,04E+009","1,01E+010","25,7125427728",,58,"34,4173813977",,,"19,3762787854","10,404144872","60,8795121951",,,"35,3448873789",,"26,0103621801",76,"83,9339339339","7,01E+008","1,7380153233","9611553,9748693","2,2",,,"1353,5792478528",,,,27750,202,"4,6721062542","1,22E+009"
"Honduras","1722,2108489259","HND","93,1","13,3841408661",,"-1,0646784755",,"51,4897704205","3,26E+009","3,308","8,16E+008","1,22E+010","6,3003877858",1590,3610,"1,13E+010","2,56E+010","33,4788492268","1,2049414907",89,"78,4044344054",,"28,0641907728","7,0022822927","5,9709009308","70,2070731707",,,"115,6632700431","0,6863755758","58,9099142438","23,9","80,8388157895","4,64E+008","1,9200995594","7103785,59147592","0,7",,"106,3256012192","13503,9267112888","22,1362639024",,"58,5516683611",112090,21,"3,6890616142","2,62E+009"
"Hong Kong, China","29897,7648808665","HKG","5,712","0,0577735059",,,,"207,9679045406",,"0,966","5,44E+010","2,07E+011","6,3804665136",31570,43960,"2,19E+011","3,04E+011","20,9349702959","19,3284340471",,"197,1462724189",,"7,6983358003","2,9269506113","57,196898598","82,2756097561",,"561,4390349537","347,4775287318",,"155,2379040991",,"96,7808332926",,"0,9983395695",6925900,,,,,,,"92,2438906938",1092,11,,"3,17E+008"
"Hungary","13798,7497672668","HUN","20,172","3,9616414149",,"-4,9266456575",,"80,3638703494",,"1,32","3,72E+010","1,39E+011","1,2",11670,17470,"1,17E+011","1,76E+011","22,5016832222","25,2213415149",99,"78,7728402606",,"29,7282791529","5,8969203166","51,8648578231","73,0885365854",,"34,3413839208","137,8572408413","1,2802692999","109,6874633295","6,8","95,4520217326",,"-0,1549151581","1,01E+007","0,1","92,246132119","99,244647205","596,6717648954","37,9836813301",,"66,3100794322",93030,16,,"2,53E+009"
"Iceland","64189,8609969691","ISL","15,064",,,"4,9018165834",,"35,3095414855",,"2,451","3,04E+009","2,00E+010","3,8447125732",57750,34070,"1,80E+010","1,06E+010","27,7137884196","57,1229965428",95,"45,9553202123",,,"5,5090041701","65,0395341434","81,1907317073",,"203,1525314312","57,5423929096",,"105,351177021","2,5",,,"2,347292693",310997,"0,2","96,7783505155","103,0855640483","546629,06716142","35,5498076137",,,103000,5,,"4,13E+007"
"India","1046,3227772915","IND","68,141","18,1119315178",,"-1,4076512682",,"21,159355549","2,21E+011","2,68","2,30E+010","1,18E+012","9,060396554",950,2740,"1,07E+012","3,08E+012","38,7294321887","5,3175340505",67,"24,7234195706",,"29,5053197349","4,8876774143","7,2013634767","64,7458536585",,"154,5684139019","30,9113784024","2,4685607825","20,7701547585","71,8","99,2722805783","1,30E+009","1,3403818399","1,12E+009","0,3",,,"1120,6921872793","13,5984248634",,"52,3827487472",3287260,33,,"3,87E+010"
"Indonesia","1914,3430487634","IDN","39,829","13,7135610184","79,4",,"61,4","29,4474329438","1,41E+011","2,182","6,93E+009","4,32E+011","6,2781345752",1650,3560,"3,72E+011","8,03E+011","24,9450802301","10,8324377888",80,"25,4036379263",,"46,8333800333","11,2843103829","11,0800836521","70,6114634146",,"49,0105640716","48,8020751912","1,2219061229","41,3893776963","31,2","104,8807405581","7,96E+008","1,1538335822","2,26E+008","0,2","104,8146706531","97,5812864731","12578,1109618568",,,"39,4530589483",1904570,105,"10,4645990907","6,17E+009"
"Iran, Islamic Rep.","4027,791452485","IRN","18,337","10,2166925831",,"10,5977145191",,"32,1789541755","2,06E+010","2,04","7,54E+008","2,86E+011","7,8247883186",3540,10840,"2,51E+011","7,70E+011","33,1589699134",,97,"21,5382245122",,"44,4749355457","20,462334958","18,3044351449","70,9504878049",,"15,9316729902","46,7300446612","2,8732398576","41,9171564817","32,8","160,2066126669","1,02E+008","1,3083136382","7,10E+007","0,2","105,4809497196",,"1809,3230123961","37,1717834866",,"45,3083718712",1745150,28,,"1,12E+009"
"Iraq",0,"IRQ","85,541",,,,,,,"4,107",,,,,,,,,"0,0468780943",69,,,,,,"67,4695121951",,,,,,"44,3",,"9,11E+009",,,,,,,,,,438320,77,,"3,89E+008"
"Ireland","59323,5885757668","IRL","15,946",,,"0,4141103249",,,,"1,9","2,61E+010","2,59E+011",6,47610,37700,"2,08E+011","1,65E+011",,"28,0705310461",87,,,,"2,193338749","56,1476325027","79,3926829268",,"55,6046394922","79,3022789749","0,5299893529","114,1205622381","4,2","91,3152344265",,"2,4440863154",4366193,"0,2","96,5665707847","102,632945321","11222,5913971279","33,3073156278",,,70270,13,,"5,80E+008"
"Isle of Man",0,"IMY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1279431759",80556,,,,,,,,570,,,
"Israel","22834,9271516507","ISR","14,305",,,"0,2934294605",,"43,1660807183",,"2,9","9,66E+009","1,64E+011","5,3688980216",22170,26310,"1,59E+011","1,89E+011","20,110399791","7,5448892311",97,"44,857115709",,,"-0,2409155093","27,854765254","80,6048780488",,"144,1600315128","69,0001392409","8,5574684657","123,9815601454",5,"91,7215502174",,"1,7761008692",7180100,"0,1","102,1940358465","100,8826889837","104,4553697024","40,2279111338",,,22070,34,,"1,04E+009"
"Italy","35396,1777175223","ITA","4,895","2,0356480605",,"-1,7533241066",,"29,1943670124",,"1,34","4,00E+010","2,10E+012","1,4567050718",33490,30190,"1,99E+012","1,79E+012","21,4885456612","6,6907819385",87,"29,5007737992",,"27,029929436","2,2643645126","53,895008246","81,3129268293",,"51,0407489718","47,4383215366","1,7955893573","151,2445511094","3,7","98,0226483529",,"0,7322816923","5,94E+007","0,4","101,8610265733","98,8155758616","3073,6996890309","37,8628917872",,"70,9344225035",301340,13,,"3,16E+009"
"Jamaica","4884,5317997985","JAM","77,328","5,3171365804",,"-25,2530579506",,,"1,01E+010","2,429","8,66E+008","1,31E+010","1,4287502851",4420,7170,"1,18E+010","1,92E+010",,"2,3382166738",76,,,"25,3383807271","11,2062072934","56,0580013454","72,5258536585",,"94,3741507922","66,016075515","0,6499241643","100,3188205397","31,1","101,5698603264","2,60E+007","0,4757543297",2675800,"1,6","90,94614963","102,8714681138","3514,4629643471","56,3477801794",,"69,3444826925",10990,8,"17,3068587459","2,14E+009"
"Japan","34313,4269074899","JPN","4,731",,,,,,,"1,34","2,22E+010","4,38E+012","2,1",37800,34750,"4,83E+012","4,44E+012",,"18,9440709982",98,,,,"-0,6479481641","68,9594449434","82,5070731707",,"101,5788922106","30,4857084692","0,9305646386","84,0090552806","3,5","86,0479957817",,"0,0115447796","1,28E+008",,,"100,293001732","3365,4024884412",,,,377910,23,,"1,58E+009"
"Jordan","2890,8727469836","JOR","24,539","3,1827212063","99,1","-4,8509026818","57,1","55,4245064411","8,37E+009","3,6","1,84E+009","1,65E+010","6,5811833983",2960,5300,"1,69E+010","3,03E+010","26,2310977017","1,1159931162",95,"95,1189841015",,"29,418776425","4,5320850411","19,7017933046","72,5902439024",,"249,3056972959","117,4165486999","6,2449186828","83,4369985591","24,4","92,372254838","5,04E+008","3,2207424185","5718855,04320754",,"101,7599795944","102,2187860716","119,2546401067","30,9524446355",,"67,3985023687",88780,14,"5,6504664456","3,43E+009"
"Kazakhstan","6771,6433662803","KAZ","30,677","6,0965889198",,"1,1697610989",,"49,4349504747","9,61E+010","2,36","1,02E+010","1,05E+011","8,9",4970,9510,"7,69E+010","1,47E+011","35,617774106","23,2453652984",99,"42,6013537649",,"40,6392092544","15,5270972953","12,27466708","66,4132313499",,"39,4622123331","76,7842896937","1,2996317295","79,5822580437","31,6",,"2,02E+008","1,1438049117","1,55E+007","0,1","100,6833646298","99,1678809784","4870,7714961057","15,9050155917",,"53,2642018258",2724900,21,"49,5895509127","2,23E+008"
"Kenya","718,0865808893","KEN","103,544","26,0832573383",,"-3,0119127892",,"26,1295691146","7,35E+009","4,959","7,28E+008","2,70E+010","6,960898695",660,1550,"2,48E+010","5,81E+010","20,1777492626","5,4112215945",80,"37,3427980075",,"17,8956245548","4,6546330162","7,993450559","54,0636585366",,"49,6713758326","48,4968884352","1,8355334269","30,2403212321","121,2","83,7821269052","1,28E+009","2,6383281124","3,75E+007",,,"95,1774427811","551,5480885741","18,9353656157",,"56,021118107",580370,44,"6,0409869857","1,59E+009"
"Kiribati","1436,543013675","KIR",,,,,,,,,,"1,37E+008","-0,5",1800,3410,"1,71E+008","3,24E+008",,,93,,,,"7,5801542926","2,1037794398",,,,"58,5249141474",,"0,7889172899",63,,"2,71E+007","1,6053785559",95067,,,,,,,,810,21,,7000000
"Korea, Dem. Rep.",0,"PRK",0,,,,,,,"1,85",,,,,,,,,,99,,,,,0,"67,1087804878",,,,,0,55,,"9,81E+007","0,3169232946","2,38E+007",,,,"2817,1617542524",,,,120540,,,
"Korea, Rep.","21653,3752515059","KOR","5,472","2,8817236752",,"4,2584560411",,"41,9229487197",,"1,26","1,58E+009","1,05E+012","5,1058239721",21210,26880,"1,03E+012","1,30E+012","29,4270537931","33,4669853891",92,"40,4124047577",,"37,1231003839","2,0803532364","75,9344560013","78,9692682927",,"107,0905489589","69,4157495439","2,4348393303","89,7670876672","4,84","71,9635583657",,"0,328672275","4,85E+007","0,1","102,3643260518","95,6871408387","1338,3275548952","24,5768825646",,"59,995175941",99260,17,,"1,13E+009"
"Kuwait","42101,9997399302","KWT","13,191",,,"16,3405674888",,"65,4439239502",,"2,184","1,19E+008","1,12E+011",,,,,,"19,6790294647",,99,"30,0869941711",,,,"33,7969012015","77,8982926829",,"167,7240736272","74,4750678256","3,9037719371","104,1578436666","11,1","194,2986380995",,"2,4143157881","2662966,03535597",,"98,1585751915","99,8970926332",,"48,3213475655",,,17820,35,,
"Kyrgyz Republic","715,3329384167","KGZ","32,281","33,570253667",,"-1,5392807411",,"44,6849861252","2,40E+009","2,7","2,08E+008","3,74E+009","8,211328461",610,1980,"3,20E+009","1,04E+010","25,9772134979","2,4426440717",99,"89,8858957534",,"18,9323518772","13,4839854935","14,3271949263","67,6951219512",,"3,2312983097","94,8559636034","3,1026966842","41,421429663","38,4",,"2,74E+008","0,8190399582",5234800,"0,1","94,723949671","100,4554366958","8873,3093909987","21,0417986768",,"47,4973944558",199900,21,"6,7489666707","7,15E+008"
"Lao PDR","705,7903352749","LAO","37,416","39,8959542422",,"-2,8931965169",,"35,7309883526","3,34E+009","3,543","3,24E+008","4,30E+009","7,859",610,1920,"3,73E+009","1,17E+010","38,0241404955",,40,"50,9685199645",,"30,7486308115","5,3780950296","1,6414075924","64,7507317073",,,"46,2693507986","0,340469643","24,2667175722","70,2","113,9892189577","3,96E+008","1,8033439439",6092332,"0,2","76,9254999775","85,9518589689","31255,6833737886","12,9888444072",,"29,3554149463",236800,100,"18,8999598232",1000000
"Latvia","12638,2242446254","LVA","15,206","3,2762871995",,"0,8081893247",,"41,9292417405","3,93E+010","1,42","2,25E+009","2,88E+010","9,977597441",10090,16770,"2,30E+010","3,82E+010","35,1429982612","7,4186858872",97,"61,0606296389",,"22,048615346","20,2951181197","55,0228021616","71,2170731707",,"10,8163974993","82,2932931848","1,6982523562","97,4038047537","8,6",,,"-0,5191893957",2276100,"0,8","89,5430373194","99,7903189728","7354,6856465006","26,5752812942",,"74,6750974545",64590,16,"73,2635632278","5,52E+008"
"Lebanon","6036,33392784","LBN","16,199","6,4124458075",,"-11,2912743447",,"24,9308196476","2,46E+010","2,209","2,84E+009","2,47E+010","7,5",6190,10910,"2,54E+010","4,47E+010","17,6649214091",,53,"49,0982568586",,"23,9920255023","3,9290639128","38,3200134666","71,9673170732",,"43,9038879328","63,9876944797","5,1284167617","30,7536413808","29,4","98,7863004081","9,39E+008","1,0248586663","4097075,80444739","0,1","81,5260027838","103,2801465635","1171,5672906978","21,1723601446",,"69,5955286902",10400,46,"18,6969891723","5,77E+009"
"Lesotho","832,3575585238","LSO","73,464","7,3921279115",,"8,7968628753",,"52,7175454695","6,80E+008","3,373","1,30E+008","1,67E+009","5,064246596",1040,1880,"2,08E+009","3,77E+009","26,5267824915",,85,"102,6086394718",,"36,056078754","9,1608661099","3,489834608","42,5573170732",,,"151,8359106462","2,3858498907","22,7337797324","83,5","78,9453721923","1,30E+008","0,5467895794","2005825,71559871","23,2",,,"2607,4050000096","60,2566574375",,"56,5517933345",30350,73,"6,9954449823","4,43E+008"
"Liberia","202,61249921","LBR","141,572","53,9719439151","46,3",,"11,4","33,2698066975","2,48E+009","5,145","1,32E+008","7,35E+008","9,4000042097",150,280,"5,31E+008","1,02E+009",20,,95,"83,7734821672","6,44","18,5697250204","15,9617188558","0,5513765806","58,0365853659","20,4",,"95,4780549286","0,490773241","15,5212507426","132,8",,"6,96E+008","4,4035935659",3627285,"1,7",,,"55137,6580555429",,,"27,4583310645",111370,68,"111,6103578897","6,46E+007"
"Libya","9475,0997222864","LBY","3,16",,,,,,,"2,724","4,69E+009","5,83E+010","6,8",9010,14710,"5,55E+010","9,06E+010",,,98,,,,"5,3908494933","4,7315940842","74,2219512195",,,"93,8057142857","1,0979591837","73,0936264291","17,8","172,008029155","1,90E+007","1,9327091732","6156487,53502059",,,,"97,4581685721",,,,1759540,,,"1,60E+007"
"Liechtenstein",0,"LIE",,,,,,,,,,,,,,,,,,,,,,,"65,2167748887",,,,,,"90,7732441092","2,5",,,"0,6543036543",35267,,"113,9364303178","91,8623357901",,,,,160,,,
"Lithuania","11521,9695943056","LTU","21,891","4,4060315456",,"-0,8823226719",,"54,3840503288",,"1,35","2,02E+009","3,89E+010","8,9246432497",9910,17090,"3,34E+010","5,77E+010","30,5179302355","11,0557722331",97,"67,7992473917",,"32,7996860229","8,8232229931","49,2078487554","70,8846341463",,"26,0561538058","107,0245824343","1,5447524779","145,5163765568","8,2",,,"-0,545490813",3375618,"0,1","94,8224417922","99,7191976358","4609,5263148851","28,8432595908",,"62,7942824315",65300,26,,"1,43E+009"
"Luxembourg","103042,443977537","LUX","12,284","0,3905401145",,"3,2206019217",,"172,5000830169",,"1,61","1,88E+011","4,95E+010","4,4564259385",79060,65050,"3,79E+010","3,12E+010","19,1129915987","8,8512281688",96,"141,9429286165",,"14,3847921965","2,1914305677","75,8165223243","79,1756097561",,"335,8339007945","101,0470700438","0,7416180556","142,6062463411","2,8",,,"1,5443868465",479993,"0,2","84,0780688238","102,0393498843","2083,3637157209","38,4011857898",,"85,2246676889",2590,26,,"1,57E+009"
"Macao, China","36249,2373857427","MAC","5,184",,,"16,2370819741",,"88,320622843",,"0,953","4,37E+009","1,86E+010","25,267142729",35360,52260,"1,81E+010","2,68E+010","36,7700054732",,,"54,640343752",,"17,6900765902","4,926084918","46,3868900514","80,6229268293",,,"42,5205938392",,"154,8158557407",,"91,0871905163",,"2,5987898718",513076,,"102,6172839506","96,8103734154",,"28,7239027619",,"82,3099234098","28,2",,,"3,99E+008"
"Macedonia, FYR","3891,2817897784","MKD","21,686","11,9589361217",,,,"53,1623927282","3,76E+009","1,426","3,20E+008","7,93E+009","5,8610861276",3410,9050,"6,95E+009","1,84E+010","22,4202907018","0,8267463204",96,"72,2427826222",,"29,5301397029","7,6514727493","27,2964335593","74,1319512195",,"34,2551027672","108,2927153385","2,0523710219","95,5663093513","16,6",,"2,13E+008","0,032193353","2037031,68325141","0,1","93,7900812313","98,2685208472","2650,9160581051",,,"58,5109241754",25710,15,,"3,45E+008"
